,주소,상세주소,지역코드,대분류,중분류,소분류,콘텐츠ID,콘텐츠타입ID,등록일,행사 종료,행사 시작,firstimage,firstimage2,mapx,mapy,mlevel,수정일,조회수,시군구코드,전화번호,제목
14,경기도 의왕시 왕송못동로 307,(월암동),31,A02,A0208,A02080600,2667707,15,20200818165458,20210522,20210520,http://tong.visitkorea.or.kr/cms/resource/03/2667703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2667703_image2_1.jpg,126.9531611746,37.3071811142,6,20210330173519,0,24,070-7411-2022,경기정원문화박람회
15,경상남도 고성군 동해면 봉암3길 5,,36,A02,A0207,A02070200,2719983,15,20210608090821,20210710,20210701,http://tong.visitkorea.or.kr/cms/resource/11/2722611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2722611_image2_1.jpg,128.3993560025,35.0096327799,6,20210701113039,0,3,055-672-5155,경남 고성 옥수수축제
16,경상남도 고성군 회화면 당항만로 1116,,36,A02,A0207,A02070200,141105,15,20060414000000,20211107,20211001,http://tong.visitkorea.or.kr/cms/resource/45/2722045_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2722045_image2_1.jpg,128.4007962584,35.0581190364,6,20210802155523,178564,3,055)670-3816,경남고성공룡세계엑스포
17,서울특별시 종로구 사직로 161,,1,A02,A0207,A02070200,2648460,15,20200224102834,20210527,20210506,http://tong.visitkorea.or.kr/cms/resource/58/2648458_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/58/2648458_image2_1.PNG,126.9770319156,37.5788944508,6,20210513154207,0,23,02-3210-4806,경복궁 별빛야행
18,서울특별시 종로구 사직로 161 경복궁,,1,A02,A0207,A02070200,2615461,15,20190816134954,20210630,20210415,http://tong.visitkorea.or.kr/cms/resource/48/2713648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2713648_image2_1.jpg,126.9770319156,37.5788944508,6,20210413134125,0,23,"02-3210-4807, 02-3210-3506",경복궁 생과방
19,서울특별시 종로구 사직로 161,,1,A02,A0207,A02070200,2601364,15,20190510174353,20210529,20210501,http://tong.visitkorea.or.kr/cms/resource/91/2714691_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2714691_image2_1.jpg,126.9748959222,37.5816246501,6,20210427160617,40,23,02-3210-4806,경복궁 시식공감
20,서울특별시 종로구 사직로 161,(세종로),1,A02,A0208,A02081300,2597569,15,20190417150900,20210530,20210401,http://tong.visitkorea.or.kr/cms/resource/44/2597544_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2597544_image3_1.jpg,126.9748959222,37.5816246501,6,20210514101652,42,23,02-3700-3900~1,경복궁 야간 특별관람
21,경상북도 경산시 자인면 계정길 68,(자인면),35,A02,A0207,A02070200,1642876,15,20120613142048,20210614,20210612,http://tong.visitkorea.or.kr/cms/resource/99/2718299_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2718299_image2_1.jpg,128.8200110253,35.8182688829,6,20210526095850,21864,1,053-856-5765,경산자인단오제
22,경상남도 통영시 남망공원길 29,(동호동),36,A02,A0207,A02070200,1906179,15,20140318143451,20210327,20210316,http://tong.visitkorea.or.kr/cms/resource/15/2718515_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2718515_image2_1.jpg,128.4286550814,34.8423603636,6,20210526164112,5791,13,055-746-7413,경상남도연극제
23,충청남도 계룡시 신도안면 정장리 16,,34,A02,A0207,A02070200,1362833,15,20110812145419,20221023,20221007,http://tong.visitkorea.or.kr/cms/resource/07/2549807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2549807_image2_1.jpg,127.2371213251,36.3068152207,6,20210720172320,76676,16,042-840-3907,계룡세계군문화엑스포
24,온라인 개최,,32,A02,A0207,A02070200,2394665,15,20160725102944,20210822,20210821,http://tong.visitkorea.or.kr/cms/resource/71/2730371_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2730371_image2_1.jpg,128.3039208605,37.4530112700,6,20210804102251,8219,15,02-966-6563,계촌 클래식 축제
25,서울특별시 종로구 창경궁로 185,,1,A02,A0208,A02081300,2433581,15,20161007152205,20210627,20210612,http://tong.visitkorea.or.kr/cms/resource/03/1965903_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1965903_image3_1.jpg,126.9938137563,37.5776087901,6,20210617153745,4544,23,02-2270-1132,"고궁음악회「고궁의 숲, 무용을 만나다」"
26,강원도 원주시 호저면 호저로 1277-43,,32,A02,A0207,A02070200,2517217,15,20171123133259,20210214,20201120,http://tong.visitkorea.or.kr/cms/resource/64/2680064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2680064_image2_1.jpg,127.9154662381,37.4800230785,6,20210617170645,4922,9,033-732-9586,고니골빛축제 2021
27,경기도 고양시 일산동구 호수로 595,,31,A02,A0207,A02070200,1725993,15,20120926191535,20211010,20211001,http://tong.visitkorea.or.kr/cms/resource/62/2614562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2614562_image2_1.jpg,126.7686654803,37.6538792239,6,20210727171004,99739,2,031-908-7750~2,고양가을꽃축제
28,경기도 고양시 일산동구 중앙로 1271-1,(장항동),31,A02,A0208,A02081300,2702939,15,20210106174924,20210228,20201230,http://tong.visitkorea.or.kr/cms/resource/33/2702933_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2702933_image2_1.jpg,126.7727121731,37.6595397482,6,20210106174924,0,2,031-8075-3003 / 3004,고양시 트리니팅 프로젝트 2021
29,경기도 고양시 일산동구 호수로 595,,31,A02,A0207,A02070200,1100492,15,20100928105707,20211010,20210903,http://tong.visitkorea.or.kr/cms/resource/65/2722465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2722465_image2_1.jpg,126.7686654803,37.6538792239,6,20210621181604,39139,2,031-960-9684,고양호수예술축제
30,전라북도 고창군 공음면 청천길 41-27,,37,A02,A0207,A02070200,2719229,15,20210602111056,20210711,20210528,http://tong.visitkorea.or.kr/cms/resource/27/2719227_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2719227_image2_1.jpg,126.5350719884,35.3736427850,6,20210621100219,0,1,063-561-6907,고창 라벤더 축제
31,전라북도 고창군 고창읍 녹두로 1265,,37,A02,A0207,A02070200,738857,15,20090522102504,20210622,20210618,http://tong.visitkorea.or.kr/cms/resource/58/2717758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2717758_image2_1.jpg,126.6841072139,35.4347661324,6,20210525150721,56040,1,063-560-2531,고창 복분자와 수박축제
32,서울특별시 관악구,(봉천동),1,A02,A0207,A02070200,2612274,15,20190722094803,20211017,20211014,,,126.9514981970,37.4782084678,6,20210520154201,0,5,02) 828-5763,관악강감찬축제
33,광주광역시 남구 천변좌로338번길 7,(구동),5,A02,A0207,A02070200,2487990,15,20170329142044,20211002,20210703,http://tong.visitkorea.or.kr/cms/resource/79/2721879_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2721879_image2_1.JPG,126.9086639556,35.1479801537,6,20210629143929,25008,2,062-670-7983,광주 프린지페스티벌
34,광주광역시 서구 상무누리로 30,,5,A02,A0208,A02080500,1790431,15,20130129133506,20211024,20211021,http://tong.visitkorea.or.kr/cms/resource/70/2718870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2718870_image2_1.jpg,126.8405588979,35.1467180358,6,20210528150319,14227,5,062)611-2256,광주국제차문화전시회
35,광주광역시 동구 서남로 1,(서석동),5,A02,A0207,A02070200,2608888,15,20190702150154,20210917,20210903,http://tong.visitkorea.or.kr/cms/resource/87/2608887_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2608887_image2_1.JPG,126.9231210717,35.1455501169,6,20210615152401,0,3,062-608-8919,광주문화재야행 '동구 달빛걸음'
36,광주광역시 북구 비엔날레로 111,,5,A02,A0208,A02081300,2561750,15,20181001144556,20210509,20210401,http://tong.visitkorea.or.kr/cms/resource/48/2561748_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/48/2561748_image2_1.JPG,126.8902647155,35.1825648257,6,20210203173056,663,4,062-608-4114,광주비엔날레 2021
37,광주광역시 북구 비엔날레로 111,(용봉동),5,A02,A0208,A02081300,2713675,15,20210413172006,20210531,20210402,http://tong.visitkorea.or.kr/cms/resource/73/2713673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2713673_image2_1.JPG,126.8902591590,35.1826203741,6,20210415154001,0,4,062-410-8228,광주비엔날레미디어파사드 특별전
38,온라인개최,,5,A02,A0207,A02070200,604097,15,20080805134607,20211114,20211029,http://tong.visitkorea.or.kr/cms/resource/47/2733947_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2733947_image2_1.jpg,,,,20210813164712,67503,2,062-613-3955,광주세계김치축제
39,온라인개최,,33,A02,A0207,A02070200,141234,15,20060821000000,20210905,20210902,,,127.7866969589,36.8153806672,6,20210728141001,110154,1,괴산군청 043-830-3461~3,괴산고추축제
40,충청북도 괴산군 장연면 충민로 1675,,33,A02,A0207,A02070200,2726643,15,20210721133151,20210725,20210724,http://tong.visitkorea.or.kr/cms/resource/42/2726642_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2726642_image2_1.jpg,127.9304519249,36.8712768785,6,20210721133151,0,1,043-830-3463,괴산대학찰옥수수축제
41,온라인개최,,1,A02,A0207,A02070200,2618971,15,20190917133340,20210127,20201230,http://tong.visitkorea.or.kr/cms/resource/78/2703678_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/78/2703678_image2_1.png,126.8875507563,37.4955247594,6,20210517162137,0,7,02-860-2140,구로청소년축제 2021
42,서울특별시 종로구 삼청로 37,(세종로),1,A02,A0208,A02080100,140660,15,20040311000000,20211231,20210101,,,126.9788705506,37.5819663482,6,20210125131301,22182,23,02-3704-3114,국립민속박물관 우리민속한마당 2021
43,서울특별시 종로구 삼청로 37,(세종로),1,A02,A0207,A02070200,1204941,15,20110215150050,20210303,20210201,http://tong.visitkorea.or.kr/cms/resource/50/495150_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/495150_image3_1.jpg,126.9788594400,37.5819774581,6,20210209154621,9540,23,"02-3704-3142, 3127",국립민속박물관 정월대보름 한마당 2021
44,경상남도 진주시 남강로 626-35,(남성동),36,A02,A0207,A02070200,1889579,15,20140127132854,20210127,20210125,http://tong.visitkorea.or.kr/cms/resource/03/211603_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/211603_image3_1.jpg,128.0768878142,35.1889652253,6,20210225150855,5696,13,055-740-0693,국립진주박물관 설맞이 문화행사
45,광주광역시 서구 상무누리로 30,(치평동),5,A02,A0208,A02080500,2043842,15,20151127093033,20211120,20211118,http://tong.visitkorea.or.kr/cms/resource/13/2549813_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2549813_image2_1.JPG,126.8405588979,35.1467180358,6,20210617154418,1815,5,062-611-2216,국제뿌리산업전시회
46,제주특별자치도 서귀포시 중문관광로 224,(중문동),39,A02,A0208,A02080600,1903480,15,20140306174348,20210910,20210907,http://tong.visitkorea.or.kr/cms/resource/52/2718852_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/2718852_image2_1.JPG,126.4245292209,33.2413184587,6,20210528141607,17659,3,064-702-1580,국제전기자동차엑스포
47,온라인개최,,37,A02,A0207,A02070200,2557742,15,20180816140058,20211102,20211006,http://tong.visitkorea.or.kr/cms/resource/87/2729287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2729287_image2_1.jpg,126.9058794948,35.8558248270,6,20210802131429,592,3,063-219-8831~5,국제종자박람회
48,서울특별시 강남구 영동대로 513,(삼성동),1,A02,A0207,A02070200,1276136,15,20110512102643,20210801,20210729,,,127.0594124394,37.5112648981,6,20210701172123,31761,1,02-6000-8000,국제차문화대전
49,부산광역시 해운대구 수영강변대로 120,(우동),6,A02,A0207,A02070200,2661307,15,20200625173146,20210725,20210722,http://tong.visitkorea.or.kr/cms/resource/05/2726005_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2726005_image2_1.jpg,129.1271521198,35.1711196124,6,20210715111602,0,16,051-790-9413,국제해양영화제
50,전라북도 군산시 구영2길 9,(신창동),37,A02,A0207,A02070200,2724153,15,20210702152850,20210911,20210909,http://tong.visitkorea.or.kr/cms/resource/12/2726912_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/12/2726912_image2_1.png,126.7079326463,35.9877258361,,20210726093013,0,2,063)454-3922,군산문화재야행
51,서울특별시 서초구 강남대로 27,(양재동),1,A02,A0208,A02080600,2659596,15,20200612110502,20210905,20210903,http://tong.visitkorea.or.kr/cms/resource/39/2722939_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/39/2722939_image2_1.png,127.0390127336,37.4683111849,6,20210623140108,0,15,070-8866-6668,궁디팡팡 캣페스타
52,서울특별시 종로구 사직로 161,,1,A02,A0207,A02070200,1998564,15,20150421095827,20211010,20211002,http://tong.visitkorea.or.kr/cms/resource/07/2718907_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/07/2718907_image2_1.png,126.9769930325,37.5788222356,6,20210531153419,65553,23,02-3210-4684,궁중문화축전
53,충청남도 금산군 금산읍 인삼광장로 30,,34,A02,A0207,A02070200,2719507,15,20210603094304,20210711,20210710,http://tong.visitkorea.or.kr/cms/resource/01/2719501_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2719501_image2_1.jpg,127.5012171957,36.1002101508,6,20210604172551,0,2,041-750-4147,금산 삼계탕 축제
54,대구광역시 북구 호암로 15,(칠성동2가),4,A02,A0208,A02080400,2704792,15,20210128165716,20210130,20210128,http://tong.visitkorea.or.kr/cms/resource/91/2704791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2704791_image2_1.jpg,128.5922570230,35.8835072863,6,20210128165716,0,5,053-666-6170,기획오페라 <사랑의 묘약> 2021
55,충청남도 당진시 우강면 솔뫼로 132,,34,A02,A0208,A02081300,2704776,15,20210128140219,20210822,20210814,http://tong.visitkorea.or.kr/cms/resource/81/2704781_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2704781_image2_1.JPG,126.7860785910,36.8201094630,6,20210729150549,0,4,041-350-3776,김대건 신부 탄생 200주년 기념행사 2021
56,온라인개최,,37,A02,A0207,A02070200,1248817,15,20110401160452,20210411,20210409,http://tong.visitkorea.or.kr/cms/resource/43/2384043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2384043_image2_1.jpg,127.0402488564,35.7188288389,6,20210323151135,30360,3,063-540-3190,김제 모악산축제
57,경상북도 김천시 대항면 직지사길 95,(대항면),35,A02,A0207,A02070200,1814499,15,20130529161225,20211016,20210619,http://tong.visitkorea.or.kr/cms/resource/88/2718888_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2718888_image2_1.JPG,128.0097381838,36.1171145622,6,20210531132837,19638,6,054-434-4336,김천나이트투어 '직지골야행'
58,경기도 김포시 고촌읍 아라육로270번길 74,,31,A02,A0208,A02081300,1930109,15,20140630094300,20211231,20210101,http://tong.visitkorea.or.kr/cms/resource/34/2703934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2703934_image2_1.jpg,126.7871209331,37.5976583182,6,20210115145806,47268,8,1522-8905,김포 음악불꽃크루즈 2021
59,대구광역시 중구 대봉동 6-11,,4,A02,A0208,A02081300,2713531,15,20210409140846,20210529,20210529,http://tong.visitkorea.or.kr/cms/resource/30/2713530_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2713530_image2_1.jpg,128.6069813718,35.8603268485,,20210409141627,0,8,053-255-5213,꽃보다 하모니
60,대구광역시 중구 달구벌대로 2232,,4,A02,A0207,A02070200,2656576,15,20200518143601,20210424,20210424,http://tong.visitkorea.or.kr/cms/resource/96/2713496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2713496_image2_1.jpg,128.6073979595,35.8618461284,6,20210409102350,0,8,053-255-5213,나를 사랑한 버스커 season2
61,경북 칠곡군 석적읍 중지리 552,,35,A02,A0207,A02070200,1844150,15,20130910091425,20211017,20211015,http://tong.visitkorea.or.kr/cms/resource/84/2732384_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2732384_image2_1.jpg,128.4011395826,36.0182857122,6,20210809151714,67693,22,054-979-6100~5,낙동강세계평화문화대축전
62,서울특별시 중구 명동길 26,(명동2가),1,A02,A0208,A02080300,406745,15,20080118180330,20211231,20210101,http://tong.visitkorea.or.kr/cms/resource/86/2034286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2034286_image3_1.jpg,126.9837456304,37.5634463660,6,20210125132029,44442,24,02-739-8288,난타 (명동)
63,대전광역시 동구 충정로 53,(가양동),3,A02,A0207,A02070200,2726319,15,20210719164457,20211005,20210910,http://tong.visitkorea.or.kr/cms/resource/18/2726318_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2726318_image2_1.jpg,127.4589975829,36.3482560780,6,20210720173119,0,2,1599-9210,남간정사 우암야행
64,온라인개최,(필동2가),1,A02,A0207,A02070200,1796637,15,20130220143544,20210226,20210211,http://tong.visitkorea.or.kr/cms/resource/71/2706671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2706671_image2_1.jpg,126.9935365470,37.5584387906,6,20210219151346,13629,24,02-2261-0517,남산골 세시절기 축제 정월대보름 2021
65,온라인개최,,37,A02,A0207,A02070200,506473,15,20080307085844,20210519,20210516,http://tong.visitkorea.or.kr/cms/resource/52/2713052_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2713052_image2_1.jpg,127.3799380290,35.4029483014,6,20210402103800,86280,4,063-620-5787,남원 춘향제
66,강원도 춘천시 남산면 남이섬길 1,,32,A02,A0208,A02081300,2714745,15,20210428094146,20210905,20210424,http://tong.visitkorea.or.kr/cms/resource/36/2714736_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/36/2714736_image2_1.png,127.5261480243,37.7901798790,6,20210430100254,0,13,031-580-8193,"남이섬 ""Ateliê : 4Room - 포르투갈 작가들의 숲속 공방"""
67,강원도 춘천시 남산면 남이섬길 1,,32,A02,A0208,A02080500,2639667,15,20191204173341,20211231,20201009,http://tong.visitkorea.or.kr/cms/resource/51/2677051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2677051_image2_1.jpg,127.5261480243,37.7901798790,6,20201217173810,0,13,남이섬교육문화그룹 031-580-8193,남이섬 '한스 크리스티안 안데르센상 도서전 : 책과 어린이를 하나로' 2021
68,대구광역시 달성군 가창면 가창로 891,,4,A02,A0207,A02070200,2636295,15,20191115172324,20210103,20201121,http://tong.visitkorea.or.kr/cms/resource/85/2683185_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2683185_image2_1.jpg,128.6353392148,35.7881605357,6,20201125163238,0,3,1688-8511,네이처파크 미라클크리스마스 2020
69,대구광역시 달성군 가창면 가창로 891,,4,A02,A0207,A02070200,2640589,15,20191212163523,20210214,20210104,http://tong.visitkorea.or.kr/cms/resource/12/2701712_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2701712_image2_1.jpg,128.6353392148,35.7881605357,6,20201228155056,0,3,1688-8511,네이처파크 스윗윈터페스티벌 2021
70,대구광역시 달성군 가창면 가창로 891,,4,A02,A0207,A02070200,2647367,15,20200210165338,20210606,20210410,http://tong.visitkorea.or.kr/cms/resource/19/2709619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2709619_image2_1.jpg,128.6353392148,35.7881605357,6,20210311134814,0,3,1688-8511,네이처파크 플라워 페스티벌
71,서울특별시 성동구 왕십리로 63,(성수동1가),1,A02,A0207,A02070200,2716833,15,20210512165803,20210606,20210603,http://tong.visitkorea.or.kr/cms/resource/24/2716824_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2716824_image2_1.jpg,127.0435962960,37.5436136344,6,20210528131519,0,16,010-4667-0417,노 모어 플라스틱(2021 NO MORE PLASTIC)
72,온라인개최,,34,A02,A0207,A02070200,525292,15,20080325125742,20210228,20210224,http://tong.visitkorea.or.kr/cms/resource/72/2706672_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2706672_image2_1.jpg,127.0819933696,36.2092819866,6,20210219153435,51509,3,041-746-8386~8,논산딸기축제 2021
73,서울특별시 종로구 대학로12길 64,(동숭동),1,A02,A0208,A02080200,1204763,15,20110215141024,20211231,20210101,,,127.0036933107,37.5811613326,6,20210217101450,33949,23,02-3672-0900,늘근도둑 이야기
74,대구광역시 달성군 다사읍 강정본길 57,,4,A02,A0207,A02070200,2392105,15,20160708130834,20211003,20210903,http://tong.visitkorea.or.kr/cms/resource/98/2732398_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2732398_image2_1.jpg,128.4650638527,35.8411652970,6,20210809171735,9069,3,053-659-4292,달성대구현대미술제
75,대구광역시 서구 국채보상로81길 43,,4,A02,A0207,A02070200,2397314,15,20160808111542,20210424,20210424,http://tong.visitkorea.or.kr/cms/resource/21/2597421_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/2597421_image2_1.JPG,128.5747198936,35.8758161670,6,20210430154352,5520,6,053-663-4256,대구 달성토성마을 골목축제
76,대구광역시 중구 국채보상로,,4,A02,A0207,A02070200,1829188,15,20130719090047,20211024,20211023,http://tong.visitkorea.or.kr/cms/resource/68/2492068_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2492068_image2_1.JPG,128.5937461266,35.8710892750,6,20210715172247,70335,99,053-430-1261~5,대구 컬러풀페스티벌
77,대구광역시 북구 연암로 40,(산격동),4,A02,A0208,A02081300,2709670,15,20210311160843,20210502,20210401,http://tong.visitkorea.or.kr/cms/resource/69/2709669_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/69/2709669_image2_1.png,128.6006893617,35.8925536396,6,20210311161443,0,5,053-355-3872~3,대구국제마라톤대회
78,온라인개최,(칠성동2가),4,A02,A0207,A02070200,141963,15,20070607000000,20210705,20210618,http://tong.visitkorea.or.kr/cms/resource/71/2718771_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2718771_image2_1.jpg,128.5922514695,35.8834822890,6,20210527172306,28643,5,053-622-1945,대구국제뮤지컬페스티벌
